date,station,elevation_m,temperature,sr50_distance_m,sr50_height_m,snow_d_m
2020-10-07T10:00:00,xbev,2157,13.9,2.203,2.445,0.242
2020-10-07T11:00:00,xbev,2157,15.48,2.198,2.445,0.247
2020-10-07T12:00:00,xbev,2157,16.47,2.176,2.445,0.269
2020-10-07T13:00:00,xbev,2157,17.37,2.18,2.445,0.265
2020-10-07T14:00:00,xbev,2157,17.6,2.176,2.445,0.269
2020-10-07T15:00:00,xbev,2157,17.88,2.179,2.445,0.266
2020-10-07T16:00:00,xbev,2157,17.43,2.175,2.445,0.27
2020-10-07T17:00:00,xbev,2157,16.67,2.182,2.445,0.263
2020-10-07T18:00:00,xbev,2157,15.85,2.188,2.445,0.257
2020-10-07T19:00:00,xbev,2157,14.05,2.189,2.445,0.256
2020-10-07T20:00:00,xbev,2157,13.28,2.202,2.445,0.243
2020-10-07T21:00:00,xbev,2157,13.48,2.201,2.445,0.244
2020-10-07T22:00:00,xbev,2157,13.17,2.199,2.445,0.246
2020-10-07T23:00:00,xbev,2157,13.07,2.205,2.445,0.24
2020-10-08T00:00:00,xbev,2157,12.8,2.2,2.445,0.245
2020-10-08T01:00:00,xbev,2157,12.3,2.207,2.445,0.238
2020-10-08T02:00:00,xbev,2157,11.58,2.208,2.445,0.237
2020-10-08T03:00:00,xbev,2157,11.08,2.21,2.445,0.235
2020-10-08T04:00:00,xbev,2157,10.3,2.213,2.445,0.232
2020-10-08T05:00:00,xbev,2157,9.78,2.217,2.445,0.228
2020-10-08T06:00:00,xbev,2157,9.27,2.215,2.445,0.23
2020-10-08T07:00:00,xbev,2157,8.72,2.215,2.445,0.23
2020-10-08T08:00:00,xbev,2157,8.37,2.218,2.445,0.227
2020-10-08T09:00:00,xbev,2157,8.7,2.218,2.445,0.227
2020-10-08T10:00:00,xbev,2157,10.4,2.207,2.445,0.238
2020-10-08T11:00:00,xbev,2157,12.37,2.191,2.445,0.254
2020-10-08T12:00:00,xbev,2157,13.75,2.191,2.445,0.254
2020-10-08T13:00:00,xbev,2157,14.37,2.19,2.445,0.255
2020-10-08T14:00:00,xbev,2157,15.05,2.186,2.445,0.259
2020-10-08T15:00:00,xbev,2157,14.43,2.191,2.445,0.254
2020-10-08T16:00:00,xbev,2157,14,2.191,2.445,0.254
2020-10-08T17:00:00,xbev,2157,12.6,2.192,2.445,0.253
2020-10-08T18:00:00,xbev,2157,11.07,2.193,2.445,0.252
2020-10-08T19:00:00,xbev,2157,9.92,2.2,2.445,0.245
2020-10-08T20:00:00,xbev,2157,8.53,2.208,2.445,0.237
2020-10-08T21:00:00,xbev,2157,7.7,2.213,2.445,0.232
2020-10-08T22:00:00,xbev,2157,7.217,2.225,2.445,0.22
2020-10-08T23:00:00,xbev,2157,6.6,2.227,2.445,0.218
2020-10-09T00:00:00,xbev,2157,5.917,2.23,2.445,0.215
2020-10-09T01:00:00,xbev,2157,6.067,2.23,2.445,0.215
